,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2021-05-23 14:38:48.603,11777,268,6,100,False,0,car,0 days 00:00:00.010000,0 days 02:08:47.840000,0.7444444444444445
1,2021-05-23 14:38:48.843,10491,270,7,100,False,0,car,0 days 00:00:00.250000,0 days 02:08:48.080000,18.744444444444444
2,2021-05-23 14:38:49.083,10452,272,7,100,False,0,car,0 days 00:00:00.490000,0 days 02:08:48.320000,36.87777777777778
3,2021-05-23 14:38:49.323,10509,272,7,100,False,0,car,0 days 00:00:00.730000,0 days 02:08:48.560000,55.01111111111112
4,2021-05-23 14:38:49.563,10574,274,7,100,False,0,car,0 days 00:00:00.970000,0 days 02:08:48.800000,73.27777777777779
5,2021-05-23 14:38:49.803,10466,274,7,76,True,0,car,0 days 00:00:01.210000,0 days 02:08:49.040000,91.54444444444445
6,2021-05-23 14:38:50.043,9324,234,7,0,True,0,car,0 days 00:00:01.450000,0 days 02:08:49.280000,107.14444444444446
7,2021-05-23 14:38:50.283,9074,213,7,0,True,0,car,0 days 00:00:01.690000,0 days 02:08:49.520000,121.34444444444446
8,2021-05-23 14:38:50.523,9507,182,7,0,True,0,car,0 days 00:00:01.930000,0 days 02:08:49.760000,133.4777777777778
9,2021-05-23 14:38:50.763,8233,164,5,0,True,0,car,0 days 00:00:02.170000,0 days 02:08:50,144.4111111111111
10,2021-05-23 14:38:51.002,8537,150,5,0,True,0,car,0 days 00:00:02.409000,0 days 02:08:50.239000,154.36944444444444
11,2021-05-23 14:38:51.282,8412,129,4,0,True,0,car,0 days 00:00:02.689000,0 days 02:08:50.519000,164.40277777777777
12,2021-05-23 14:38:51.522,8343,121,3,0,True,0,car,0 days 00:00:02.929000,0 days 02:08:50.759000,172.46944444444443
13,2021-05-23 14:38:51.762,7959,117,3,0,False,0,car,0 days 00:00:03.169000,0 days 02:08:50.999000,180.26944444444442
14,2021-05-23 14:38:52.002,7735,112,3,0,False,0,car,0 days 00:00:03.409000,0 days 02:08:51.239000,187.7361111111111
15,2021-05-23 14:38:52.242,7924,109,3,16,False,0,car,0 days 00:00:03.649000,0 days 02:08:51.479000,195.00277777777774
16,2021-05-23 14:38:52.482,7824,107,3,30,False,0,car,0 days 00:00:03.889000,0 days 02:08:51.719000,202.13611111111106
17,2021-05-23 14:38:52.722,8112,109,3,51,False,0,car,0 days 00:00:04.129000,0 days 02:08:51.959000,209.40277777777774
18,2021-05-23 14:38:52.962,8527,116,3,68,False,0,car,0 days 00:00:04.369000,0 days 02:08:52.199000,217.1361111111111
19,2021-05-23 14:38:53.202,9021,121,3,71,False,0,car,0 days 00:00:04.609000,0 days 02:08:52.439000,225.20277777777773
20,2021-05-23 14:38:53.442,9473,132,3,82,False,0,car,0 days 00:00:04.849000,0 days 02:08:52.679000,234.00277777777774
21,2021-05-23 14:38:53.682,10248,137,3,100,False,0,car,0 days 00:00:05.089000,0 days 02:08:52.919000,243.1361111111111
22,2021-05-23 14:38:53.922,11417,153,3,100,False,0,car,0 days 00:00:05.329000,0 days 02:08:53.159000,253.3361111111111
23,2021-05-23 14:38:54.162,11534,167,3,100,False,0,car,0 days 00:00:05.569000,0 days 02:08:53.399000,264.46944444444443
24,2021-05-23 14:38:54.403,10981,175,4,100,False,0,car,0 days 00:00:05.810000,0 days 02:08:53.640000,276.18472222222226
25,2021-05-23 14:38:54.683,11408,183,4,100,False,0,car,0 days 00:00:06.090000,0 days 02:08:53.920000,290.4180555555556
26,2021-05-23 14:38:54.923,11703,194,4,100,False,0,car,0 days 00:00:06.330000,0 days 02:08:54.160000,303.3513888888889
