,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2021-05-23 13:46:11.114,11371,258,6,100,False,0,car,0 days 00:00:00.030000,0 days 01:16:10.351000,2.15
1,2021-05-23 13:46:11.354,11481,261,6,100,False,0,car,0 days 00:00:00.270000,0 days 01:16:10.591000,19.55
2,2021-05-23 13:46:11.594,11530,263,6,100,False,0,car,0 days 00:00:00.510000,0 days 01:16:10.831000,37.08333333333333
3,2021-05-23 13:46:11.834,11606,266,6,100,False,0,car,0 days 00:00:00.750000,0 days 01:16:11.071000,54.81666666666666
4,2021-05-23 13:46:12.074,10177,265,7,100,False,0,car,0 days 00:00:00.990000,0 days 01:16:11.311000,72.48333333333333
5,2021-05-23 13:46:12.313,9919,265,7,100,True,0,car,0 days 00:00:01.229000,0 days 01:16:11.550000,90.07638888888889
6,2021-05-23 13:46:12.553,9259,248,7,0,True,0,car,0 days 00:00:01.469000,0 days 01:16:11.790000,106.60972222222222
7,2021-05-23 13:46:12.793,9297,237,7,0,True,0,car,0 days 00:00:01.709000,0 days 01:16:12.030000,122.40972222222221
8,2021-05-23 13:46:13.033,9504,193,7,0,True,0,car,0 days 00:00:01.949000,0 days 01:16:12.270000,135.27638888888887
9,2021-05-23 13:46:13.273,9715,182,7,0,True,0,car,0 days 00:00:02.189000,0 days 01:16:12.510000,147.4097222222222
10,2021-05-23 13:46:13.513,9027,157,5,0,True,0,car,0 days 00:00:02.429000,0 days 01:16:12.750000,157.87638888888887
11,2021-05-23 13:46:13.753,9120,134,3,0,True,0,car,0 days 00:00:02.669000,0 days 01:16:12.990000,166.8097222222222
12,2021-05-23 13:46:13.993,8738,121,3,0,True,0,car,0 days 00:00:02.909000,0 days 01:16:13.230000,174.87638888888887
13,2021-05-23 13:46:14.233,9189,113,2,0,True,0,car,0 days 00:00:03.149000,0 days 01:16:13.470000,182.4097222222222
14,2021-05-23 13:46:14.473,8809,106,2,0,False,0,car,0 days 00:00:03.389000,0 days 01:16:13.710000,189.47638888888886
15,2021-05-23 13:46:14.713,8660,103,2,0,False,0,car,0 days 00:00:03.629000,0 days 01:16:13.950000,196.34305555555554
