,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2021-05-23 13:38:27.072,11356,258,6,100,False,0,car,0 days 00:00:00.047000,0 days 01:08:26.309000,3.3683333333333336
1,2021-05-23 13:38:27.312,11489,260,6,100,False,0,car,0 days 00:00:00.287000,0 days 01:08:26.549000,20.701666666666668
2,2021-05-23 13:38:27.552,11489,260,6,100,False,0,car,0 days 00:00:00.527000,0 days 01:08:26.789000,38.035
3,2021-05-23 13:38:27.792,10769,265,6,100,False,0,car,0 days 00:00:00.767000,0 days 01:08:27.029000,55.70166666666667
4,2021-05-23 13:38:28.032,10232,266,7,100,False,0,car,0 days 00:00:01.007000,0 days 01:08:27.269000,73.435
5,2021-05-23 13:38:28.272,10243,266,7,87,True,0,car,0 days 00:00:01.247000,0 days 01:08:27.509000,91.16833333333334
6,2021-05-23 13:38:28.512,9242,259,7,0,True,0,car,0 days 00:00:01.487000,0 days 01:08:27.749000,108.435
7,2021-05-23 13:38:28.752,8329,219,7,0,True,0,car,0 days 00:00:01.727000,0 days 01:08:27.989000,123.035
8,2021-05-23 13:38:28.992,8839,209,6,0,True,0,car,0 days 00:00:01.967000,0 days 01:08:28.229000,136.96833333333333
9,2021-05-23 13:38:29.232,8688,167,6,0,True,0,car,0 days 00:00:02.207000,0 days 01:08:28.469000,148.1016666666667
10,2021-05-23 13:38:29.472,8799,150,5,0,True,0,car,0 days 00:00:02.447000,0 days 01:08:28.709000,158.1016666666667
11,2021-05-23 13:38:29.711,8659,135,4,0,True,0,car,0 days 00:00:02.686000,0 days 01:08:28.948000,167.0641666666667
12,2021-05-23 13:38:29.952,8343,117,3,0,True,0,car,0 days 00:00:02.927000,0 days 01:08:29.189000,174.89666666666668
13,2021-05-23 13:38:30.192,7559,111,3,0,True,0,car,0 days 00:00:03.167000,0 days 01:08:29.429000,182.29666666666668
14,2021-05-23 13:38:30.432,7234,107,3,0,False,0,car,0 days 00:00:03.407000,0 days 01:08:29.669000,189.43
15,2021-05-23 13:38:30.672,7258,104,3,4,False,0,car,0 days 00:00:03.647000,0 days 01:08:29.909000,196.36333333333334
16,2021-05-23 13:38:30.912,7237,102,3,11,False,0,car,0 days 00:00:03.887000,0 days 01:08:30.149000,203.16333333333336
17,2021-05-23 13:38:31.152,7346,101,3,31,False,0,car,0 days 00:00:04.127000,0 days 01:08:30.389000,209.8966666666667
18,2021-05-23 13:38:31.392,7686,101,3,52,False,0,car,0 days 00:00:04.367000,0 days 01:08:30.629000,216.63000000000002
