,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2021-05-23 13:43:36.113,11366,259,6,100,False,0,car,0 days 00:00:00.104000,0 days 01:13:35.350000,7.482222222222222
1,2021-05-23 13:43:36.393,11557,262,6,100,False,0,car,0 days 00:00:00.384000,0 days 01:13:35.630000,27.86
2,2021-05-23 13:43:36.633,11700,267,6,100,False,0,car,0 days 00:00:00.624000,0 days 01:13:35.870000,45.66
3,2021-05-23 13:43:36.873,11700,267,6,100,False,0,car,0 days 00:00:00.864000,0 days 01:13:36.110000,63.46000000000001
4,2021-05-23 13:43:37.113,10360,268,7,100,False,0,car,0 days 00:00:01.104000,0 days 01:13:36.350000,81.32666666666668
5,2021-05-23 13:43:37.353,10083,264,7,0,True,0,car,0 days 00:00:01.344000,0 days 01:13:36.590000,98.92666666666668
6,2021-05-23 13:43:37.593,8979,251,7,0,True,0,car,0 days 00:00:01.584000,0 days 01:13:36.830000,115.66000000000001
7,2021-05-23 13:43:37.833,9136,204,7,0,True,0,car,0 days 00:00:01.824000,0 days 01:13:37.070000,129.26000000000002
8,2021-05-23 13:43:38.072,9558,183,7,0,True,0,car,0 days 00:00:02.063000,0 days 01:13:37.309000,141.4091666666667
9,2021-05-23 13:43:38.312,9584,164,7,0,True,0,car,0 days 00:00:02.303000,0 days 01:13:37.549000,152.34250000000003
10,2021-05-23 13:43:38.552,9419,140,4,0,True,0,car,0 days 00:00:02.543000,0 days 01:13:37.789000,161.67583333333337
11,2021-05-23 13:43:38.792,8662,126,3,0,True,0,car,0 days 00:00:02.783000,0 days 01:13:38.029000,170.07583333333338
12,2021-05-23 13:43:39.032,9011,111,3,0,True,0,car,0 days 00:00:03.023000,0 days 01:13:38.269000,177.47583333333338
13,2021-05-23 13:43:39.233,9275,108,2,0,False,0,car,0 days 00:00:03.224000,0 days 01:13:38.470000,183.50583333333338
14,2021-05-23 13:43:39.473,8812,106,2,0,False,0,car,0 days 00:00:03.464000,0 days 01:13:38.710000,190.57250000000005
15,2021-05-23 13:43:39.713,8811,104,2,7,False,0,car,0 days 00:00:03.704000,0 days 01:13:38.950000,197.50583333333338
16,2021-05-23 13:43:39.953,8559,101,2,18,False,0,car,0 days 00:00:03.944000,0 days 01:13:39.190000,204.23916666666673
