,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2021-05-23 13:31:59.031,11428,260,6,100,False,0,car,0 days 00:00:00.227000,0 days 01:01:58.268000,16.394444444444442
1,2021-05-23 13:31:59.271,11528,261,6,100,False,0,car,0 days 00:00:00.467000,0 days 01:01:58.508000,33.794444444444444
2,2021-05-23 13:31:59.511,11574,264,6,100,False,0,car,0 days 00:00:00.707000,0 days 01:01:58.748000,51.394444444444446
3,2021-05-23 13:31:59.751,11627,265,6,100,False,0,car,0 days 00:00:00.947000,0 days 01:01:58.988000,69.06111111111112
4,2021-05-23 13:31:59.991,11615,264,6,100,False,0,car,0 days 00:00:01.187000,0 days 01:01:59.228000,86.66111111111111
5,2021-05-23 13:32:00.231,10513,240,6,0,True,0,car,0 days 00:00:01.427000,0 days 01:01:59.468000,102.66111111111111
6,2021-05-23 13:32:00.471,9553,220,6,0,True,0,car,0 days 00:00:01.667000,0 days 01:01:59.708000,117.32777777777778
7,2021-05-23 13:32:00.711,9973,209,6,0,True,0,car,0 days 00:00:01.907000,0 days 01:01:59.948000,131.26111111111112
8,2021-05-23 13:32:00.950,9973,179,5,0,True,0,car,0 days 00:00:02.146000,0 days 01:02:00.187000,143.14472222222224
9,2021-05-23 13:32:01.190,9413,156,5,0,True,0,car,0 days 00:00:02.386000,0 days 01:02:00.427000,153.54472222222222
10,2021-05-23 13:32:01.430,8448,136,4,0,True,0,car,0 days 00:00:02.626000,0 days 01:02:00.667000,162.61138888888888
11,2021-05-23 13:32:01.670,8458,123,3,0,True,0,car,0 days 00:00:02.866000,0 days 01:02:00.907000,170.81138888888887
12,2021-05-23 13:32:01.871,7681,117,3,0,True,0,car,0 days 00:00:03.067000,0 days 01:02:01.108000,177.34388888888887
13,2021-05-23 13:32:02.111,7447,109,3,0,True,0,car,0 days 00:00:03.307000,0 days 01:02:01.348000,184.61055555555555
14,2021-05-23 13:32:02.351,7275,105,3,3,False,0,car,0 days 00:00:03.547000,0 days 01:02:01.588000,191.61055555555555
15,2021-05-23 13:32:02.591,7329,105,3,15,False,0,car,0 days 00:00:03.787000,0 days 01:02:01.828000,198.61055555555555
16,2021-05-23 13:32:02.831,7539,103,3,29,False,0,car,0 days 00:00:04.027000,0 days 01:02:02.068000,205.47722222222222
17,2021-05-23 13:32:03.071,7625,104,3,41,False,0,car,0 days 00:00:04.267000,0 days 01:02:02.308000,212.41055555555556
18,2021-05-23 13:32:03.311,8270,104,3,62,False,0,car,0 days 00:00:04.507000,0 days 01:02:02.548000,219.3438888888889
19,2021-05-23 13:32:03.551,8270,112,3,62,False,0,car,0 days 00:00:04.747000,0 days 01:02:02.788000,226.81055555555554
20,2021-05-23 13:32:03.791,8941,112,3,80,False,0,car,0 days 00:00:04.987000,0 days 01:02:03.028000,234.2772222222222
21,2021-05-23 13:32:04.031,9883,134,3,98,False,0,car,0 days 00:00:05.227000,0 days 01:02:03.268000,243.21055555555554
22,2021-05-23 13:32:04.271,10794,138,3,100,False,0,car,0 days 00:00:05.467000,0 days 01:02:03.508000,252.41055555555556
23,2021-05-23 13:32:04.511,11571,153,3,100,False,0,car,0 days 00:00:05.707000,0 days 01:02:03.748000,262.61055555555555
24,2021-05-23 13:32:04.751,11789,166,3,100,False,0,car,0 days 00:00:05.947000,0 days 01:02:03.988000,273.6772222222222
25,2021-05-23 13:32:05.031,10979,170,4,100,False,0,car,0 days 00:00:06.227000,0 days 01:02:04.268000,286.89944444444444
26,2021-05-23 13:32:05.271,11288,185,4,100,False,0,car,0 days 00:00:06.467000,0 days 01:02:04.508000,299.23277777777776
27,2021-05-23 13:32:05.511,11565,192,4,100,False,0,car,0 days 00:00:06.707000,0 days 01:02:04.748000,312.03277777777777
28,2021-05-23 13:32:05.751,11732,200,4,100,False,0,car,0 days 00:00:06.947000,0 days 01:02:04.988000,325.3661111111111
29,2021-05-23 13:32:05.991,10572,205,5,100,False,0,car,0 days 00:00:07.187000,0 days 01:02:05.228000,339.03277777777777
30,2021-05-23 13:32:06.231,10917,213,5,100,False,0,car,0 days 00:00:07.427000,0 days 01:02:05.468000,353.23277777777776
31,2021-05-23 13:32:06.471,11195,215,5,100,False,0,car,0 days 00:00:07.667000,0 days 01:02:05.708000,367.5661111111111
32,2021-05-23 13:32:06.751,11497,225,5,100,False,0,car,0 days 00:00:07.947000,0 days 01:02:05.988000,385.06611111111107
33,2021-05-23 13:32:06.991,11696,228,5,100,False,0,car,0 days 00:00:08.187000,0 days 01:02:06.228000,400.2661111111111
34,2021-05-23 13:32:07.231,11868,233,5,100,False,0,car,0 days 00:00:08.427000,0 days 01:02:06.468000,415.7994444444445
35,2021-05-23 13:32:07.470,10748,237,5,100,False,0,car,0 days 00:00:08.666000,0 days 01:02:06.707000,431.5336111111111
36,2021-05-23 13:32:07.710,10536,239,6,100,False,0,car,0 days 00:00:08.906000,0 days 01:02:06.947000,447.46694444444444
37,2021-05-23 13:32:07.950,10718,244,6,100,False,0,car,0 days 00:00:09.146000,0 days 01:02:07.187000,463.73361111111114
38,2021-05-23 13:32:08.190,10766,246,6,100,False,0,car,0 days 00:00:09.386000,0 days 01:02:07.427000,480.1336111111112
39,2021-05-23 13:32:08.431,10928,249,6,100,False,0,car,0 days 00:00:09.627000,0 days 01:02:07.668000,496.8027777777778
40,2021-05-23 13:32:08.671,11092,250,6,100,False,0,car,0 days 00:00:09.867000,0 days 01:02:07.908000,513.4694444444444
41,2021-05-23 13:32:08.911,11146,252,6,100,False,0,car,0 days 00:00:10.107000,0 days 01:02:08.148000,530.2694444444445
42,2021-05-23 13:32:09.151,11289,256,6,100,False,0,car,0 days 00:00:10.347000,0 days 01:02:08.388000,547.3361111111112
43,2021-05-23 13:32:09.391,11376,256,6,100,False,0,car,0 days 00:00:10.587000,0 days 01:02:08.628000,564.4027777777779
44,2021-05-23 13:32:09.631,11399,258,6,100,False,0,car,0 days 00:00:10.827000,0 days 01:02:08.868000,581.6027777777779
45,2021-05-23 13:32:09.871,11341,257,6,100,False,0,car,0 days 00:00:11.067000,0 days 01:02:09.108000,598.7361111111112
46,2021-05-23 13:32:10.111,11016,257,6,24,True,0,car,0 days 00:00:11.307000,0 days 01:02:09.348000,615.8694444444445
47,2021-05-23 13:32:10.351,10263,245,6,0,True,0,car,0 days 00:00:11.547000,0 days 01:02:09.588000,632.2027777777779
48,2021-05-23 13:32:10.591,9655,223,6,0,True,0,car,0 days 00:00:11.787000,0 days 01:02:09.828000,647.0694444444446
49,2021-05-23 13:32:10.831,10285,211,5,0,True,0,car,0 days 00:00:12.027000,0 days 01:02:10.068000,661.1361111111113
50,2021-05-23 13:32:11.111,9753,195,5,0,True,0,car,0 days 00:00:12.307000,0 days 01:02:10.348000,676.3027777777779
51,2021-05-23 13:32:11.351,9467,180,5,0,True,0,car,0 days 00:00:12.547000,0 days 01:02:10.588000,688.3027777777779
52,2021-05-23 13:32:11.591,10076,172,5,0,True,0,car,0 days 00:00:12.787000,0 days 01:02:10.828000,699.7694444444446
53,2021-05-23 13:32:11.831,9574,166,4,0,True,0,car,0 days 00:00:13.027000,0 days 01:02:11.068000,710.8361111111113
54,2021-05-23 13:32:12.071,9362,162,4,0,False,0,car,0 days 00:00:13.267000,0 days 01:02:11.308000,721.6361111111113
55,2021-05-23 13:32:12.311,9100,157,4,0,False,0,car,0 days 00:00:13.507000,0 days 01:02:11.548000,732.102777777778
56,2021-05-23 13:32:12.551,8847,152,4,7,False,0,car,0 days 00:00:13.747000,0 days 01:02:11.788000,742.2361111111113
57,2021-05-23 13:32:12.791,8847,147,4,7,False,0,car,0 days 00:00:13.987000,0 days 01:02:12.028000,752.0361111111113
58,2021-05-23 13:32:13.031,8654,144,4,41,False,0,car,0 days 00:00:14.227000,0 days 01:02:12.268000,761.6361111111113
59,2021-05-23 13:32:13.271,8740,143,4,56,False,0,car,0 days 00:00:14.467000,0 days 01:02:12.508000,771.1694444444446
60,2021-05-23 13:32:13.511,8836,146,4,63,False,0,car,0 days 00:00:14.707000,0 days 01:02:12.748000,780.9027777777779
61,2021-05-23 13:32:13.751,9058,150,4,65,False,0,car,0 days 00:00:14.947000,0 days 01:02:12.988000,790.9027777777779
62,2021-05-23 13:32:13.991,9307,152,4,71,False,0,car,0 days 00:00:15.187000,0 days 01:02:13.228000,801.0361111111113
63,2021-05-23 13:32:14.230,9389,156,4,51,False,0,car,0 days 00:00:15.426000,0 days 01:02:13.467000,811.3927777777778
64,2021-05-23 13:32:14.470,9406,156,4,50,False,0,car,0 days 00:00:15.666000,0 days 01:02:13.707000,821.7927777777778
65,2021-05-23 13:32:14.710,9197,157,4,30,False,0,car,0 days 00:00:15.906000,0 days 01:02:13.947000,832.2594444444445
66,2021-05-23 13:32:14.950,9036,147,4,0,True,0,car,0 days 00:00:16.146000,0 days 01:02:14.187000,842.0594444444445
67,2021-05-23 13:32:15.151,9482,138,3,0,True,0,car,0 days 00:00:16.347000,0 days 01:02:14.388000,849.7644444444445
68,2021-05-23 13:32:15.391,9106,132,3,0,True,0,car,0 days 00:00:16.587000,0 days 01:02:14.628000,858.5644444444445
69,2021-05-23 13:32:15.631,8794,127,3,5,False,0,car,0 days 00:00:16.827000,0 days 01:02:14.868000,867.0311111111112
70,2021-05-23 13:32:15.871,8979,125,3,18,False,0,car,0 days 00:00:17.067000,0 days 01:02:15.108000,875.3644444444444
71,2021-05-23 13:32:16.111,8776,125,3,46,False,0,car,0 days 00:00:17.307000,0 days 01:02:15.348000,883.6977777777778
72,2021-05-23 13:32:16.351,9175,124,3,58,False,0,car,0 days 00:00:17.547000,0 days 01:02:15.588000,891.9644444444444
73,2021-05-23 13:32:16.591,9529,128,3,64,False,0,car,0 days 00:00:17.787000,0 days 01:02:15.828000,900.4977777777779
74,2021-05-23 13:32:16.831,9928,134,3,72,False,0,car,0 days 00:00:18.027000,0 days 01:02:16.068000,909.4311111111111
75,2021-05-23 13:32:17.071,10525,139,3,77,False,0,car,0 days 00:00:18.267000,0 days 01:02:16.308000,918.6977777777778
76,2021-05-23 13:32:17.311,10757,147,3,86,False,0,car,0 days 00:00:18.507000,0 days 01:02:16.548000,928.4977777777779
77,2021-05-23 13:32:17.551,11805,161,3,100,False,0,car,0 days 00:00:18.747000,0 days 01:02:16.788000,939.2311111111111
78,2021-05-23 13:32:17.791,10679,165,3,100,False,0,car,0 days 00:00:18.987000,0 days 01:02:17.028000,950.2311111111112
79,2021-05-23 13:32:18.031,11036,181,4,100,False,0,car,0 days 00:00:19.227000,0 days 01:02:17.268000,962.2977777777778
80,2021-05-23 13:32:18.271,11452,189,4,100,False,0,car,0 days 00:00:19.467000,0 days 01:02:17.508000,974.897777777778
81,2021-05-23 13:32:18.511,11085,195,4,100,False,0,car,0 days 00:00:19.707000,0 days 01:02:17.748000,987.8977777777778
82,2021-05-23 13:32:18.751,10560,202,5,100,False,0,car,0 days 00:00:19.947000,0 days 01:02:17.988000,1001.3644444444446
83,2021-05-23 13:32:18.991,10627,208,5,100,False,0,car,0 days 00:00:20.187000,0 days 01:02:18.228000,1015.2311111111112
84,2021-05-23 13:32:19.231,10240,194,5,0,True,0,car,0 days 00:00:20.427000,0 days 01:02:18.468000,1028.1644444444444
85,2021-05-23 13:32:19.471,10010,175,5,0,True,0,car,0 days 00:00:20.667000,0 days 01:02:18.708000,1039.831111111111
86,2021-05-23 13:32:19.711,10302,157,4,0,True,0,car,0 days 00:00:20.907000,0 days 01:02:18.948000,1050.2977777777778
87,2021-05-23 13:32:19.951,9733,137,4,0,True,0,car,0 days 00:00:21.147000,0 days 01:02:19.188000,1059.4311111111112
88,2021-05-23 13:32:20.191,10453,137,3,0,True,0,car,0 days 00:00:21.387000,0 days 01:02:19.428000,1068.5644444444445
89,2021-05-23 13:32:20.431,9050,107,2,0,True,0,car,0 days 00:00:21.627000,0 days 01:02:19.668000,1075.697777777778
90,2021-05-23 13:32:20.671,8137,104,2,0,True,0,car,0 days 00:00:21.867000,0 days 01:02:19.908000,1082.6311111111113
