,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2021-05-23 13:20:19.549,11444,260,6,100,False,0,car,0 days 00:00:00.053000,0 days 00:50:18.786000,3.827777777777777
1,2021-05-23 13:20:19.789,11516,262,6,100,False,0,car,0 days 00:00:00.293000,0 days 00:50:19.026000,21.294444444444444
2,2021-05-23 13:20:20.029,11660,265,6,100,False,0,car,0 days 00:00:00.533000,0 days 00:50:19.266000,38.96111111111111
3,2021-05-23 13:20:20.269,11179,267,6,100,False,0,car,0 days 00:00:00.773000,0 days 00:50:19.506000,56.761111111111106
4,2021-05-23 13:20:20.509,10353,267,7,100,False,0,car,0 days 00:00:01.013000,0 days 00:50:19.746000,74.56111111111112
5,2021-05-23 13:20:20.749,10073,258,7,0,True,0,car,0 days 00:00:01.253000,0 days 00:50:19.986000,91.76111111111112
6,2021-05-23 13:20:20.989,9018,237,7,0,True,0,car,0 days 00:00:01.493000,0 days 00:50:20.226000,107.56111111111112
7,2021-05-23 13:20:21.229,8715,208,7,0,True,0,car,0 days 00:00:01.733000,0 days 00:50:20.466000,121.42777777777778
8,2021-05-23 13:20:21.469,9161,189,7,0,True,0,car,0 days 00:00:01.973000,0 days 00:50:20.706000,134.02777777777777
9,2021-05-23 13:20:21.749,8183,164,5,0,True,0,car,0 days 00:00:02.253000,0 days 00:50:20.986000,146.78333333333333
10,2021-05-23 13:20:21.989,7839,149,5,0,True,0,car,0 days 00:00:02.493000,0 days 00:50:21.226000,156.71666666666667
11,2021-05-23 13:20:22.229,7936,128,4,0,True,0,car,0 days 00:00:02.733000,0 days 00:50:21.466000,165.25
12,2021-05-23 13:20:22.469,8569,118,3,0,True,0,car,0 days 00:00:02.973000,0 days 00:50:21.706000,173.11666666666667
13,2021-05-23 13:20:22.709,7492,114,3,0,True,0,car,0 days 00:00:03.213000,0 days 00:50:21.946000,180.71666666666667
14,2021-05-23 13:20:22.949,7223,105,3,0,True,0,car,0 days 00:00:03.453000,0 days 00:50:22.186000,187.71666666666667
15,2021-05-23 13:20:23.189,7113,102,3,2,False,0,car,0 days 00:00:03.693000,0 days 00:50:22.426000,194.51666666666665
16,2021-05-23 13:20:23.429,7227,98,3,28,False,0,car,0 days 00:00:03.933000,0 days 00:50:22.666000,201.04999999999998
17,2021-05-23 13:20:23.668,7239,99,3,45,False,0,car,0 days 00:00:04.172000,0 days 00:50:22.905000,207.6225
18,2021-05-23 13:20:23.908,7525,103,3,62,False,0,car,0 days 00:00:04.412000,0 days 00:50:23.145000,214.48916666666665
19,2021-05-23 13:20:24.148,8459,109,3,76,False,0,car,0 days 00:00:04.652000,0 days 00:50:23.385000,221.75583333333333
20,2021-05-23 13:20:24.388,8785,116,3,79,False,0,car,0 days 00:00:04.892000,0 days 00:50:23.625000,229.48916666666668
21,2021-05-23 13:20:24.589,9410,127,3,91,False,0,car,0 days 00:00:05.093000,0 days 00:50:23.826000,236.57999999999998
22,2021-05-23 13:20:24.829,10272,142,3,100,False,0,car,0 days 00:00:05.333000,0 days 00:50:24.066000,246.04666666666665
23,2021-05-23 13:20:25.069,11127,152,3,100,False,0,car,0 days 00:00:05.573000,0 days 00:50:24.306000,256.18
24,2021-05-23 13:20:25.309,11865,157,3,100,False,0,car,0 days 00:00:05.813000,0 days 00:50:24.546000,266.6466666666667
25,2021-05-23 13:20:25.549,12083,169,3,100,False,0,car,0 days 00:00:06.053000,0 days 00:50:24.786000,277.91333333333336
26,2021-05-23 13:20:25.789,10823,180,4,100,False,0,car,0 days 00:00:06.293000,0 days 00:50:25.026000,289.91333333333336
27,2021-05-23 13:20:26.029,11499,190,4,100,False,0,car,0 days 00:00:06.533000,0 days 00:50:25.266000,302.58000000000004
28,2021-05-23 13:20:26.269,11895,196,4,100,False,0,car,0 days 00:00:06.773000,0 days 00:50:25.506000,315.6466666666667
29,2021-05-23 13:20:26.509,11895,202,4,100,False,0,car,0 days 00:00:07.013000,0 days 00:50:25.746000,329.1133333333334
